y,x
55.8112164,37.7252772
55.7867991,37.7626932
55.7831455,37.7462915
55.8013699,37.6991131
55.8012963,37.6982969
55.7981397,37.6880273
55.7254108,37.405663
55.7254979,37.4065883
55.7263423,37.4237575
55.7262303,37.4472656
55.7220453,37.4070117
55.7252951,37.4484501
55.724604,37.4487541
55.7254555,37.4489512
55.735974,37.5169412
55.7228221,37.446489
55.7148958,37.3942807
55.7252605,37.4482431
55.7640864,37.3819325
55.6187666,37.5048905
55.6293956,37.4730062
55.6413007,37.4570478
55.6406927,37.4634221
55.6331205,37.6150734
55.6349146,37.6039886
55.8138679,37.7213489
55.8167613,37.7260498
55.8170214,37.7265289
55.8061741,37.7222252
55.816628,37.7016356
55.8153505,37.7184443
55.815966,37.7172528
55.8096312,37.7043532
55.7860687,37.7242575
55.8167162,37.7014892
55.8167178,37.7007767
55.6078821,37.524832
55.6093959,37.5450623
55.6039391,37.5425379
55.6002976,37.5197264
55.6112152,37.5182816
55.5968828,37.535483
55.5944593,37.5467761
55.5889992,37.5452134
55.5940144,37.5335398
55.593634,37.5317123
55.5928352,37.530262
55.5926242,37.5304983
55.6463986,37.4875849
55.6481587,37.4844386
55.6507254,37.4810332
55.6515834,37.480154
55.7146762,37.6203498
55.751612,37.7177598
55.7465701,37.6702755
55.7464572,37.6695504
55.6497202,37.5645269
55.6492244,37.5632214
55.6499101,37.5637569
55.6578308,37.5208262
55.6857161,37.4776388
55.5986443,37.5273495
55.6062359,37.5324334
55.6128565,37.5369068
55.6337574,37.5408819
55.5981628,37.5296115
55.6057542,37.5346878
55.612364,37.5390842
55.6193131,37.5430061
55.6196513,37.5421847
55.6253399,37.4844007
55.6144613,37.4916162
55.7404799,37.8418267
55.747427,37.8422551
55.7548062,37.8426328
55.7680166,37.8433559
55.7027555,37.3980761
55.8174171,37.7145107
55.8048356,37.7143447
55.7970168,37.7185094
55.7968575,37.7193468
55.8104146,37.7308648
55.8122443,37.7269974
55.7004621,37.5457517
55.7113955,37.5267214
55.7158193,37.5190435
55.710198,37.5060149
55.7262293,37.5344288
55.7285453,37.5446414
55.715655,37.5362539
55.7111828,37.5390912
55.6879872,37.5736188
55.7500163,37.5758707
55.7542087,37.5692511
55.7539757,37.5595957
55.7592751,37.6826056
55.7482393,37.66455
55.750157,37.6597561
55.74773,37.667657
55.7479523,37.6654195
55.7495624,37.6690057
55.7500646,37.6700126
55.7477425,37.6652973
55.6721845,37.4484991
55.6730624,37.4461478
55.6743392,37.4441065
55.6773232,37.4642156
55.6896627,37.4844695
55.6973569,37.4518379
55.7002759,37.451763
55.7094928,37.4487234
55.6845582,37.5395795
55.664426,37.548541
55.6566452,37.5712164
55.666768,37.541679
55.6533259,37.5990174
55.6533895,37.6055635
55.5895967,37.6349441
55.7337022,37.4323412
55.6874477,37.4284557
55.6787755,37.4339317
55.6681666,37.4282648
55.6681551,37.4266928
55.6691913,37.4258781
55.6708848,37.4255041
55.7728248,37.6325092
55.7730992,37.6304849
55.7738415,37.6200327
55.7738569,37.6205293
55.7738735,37.6215074
55.7735363,37.621617
55.7735378,37.6208762
55.7734924,37.6191111
55.7783809,37.6306836
55.8581776,37.4198704
55.7781343,37.6179188
55.7784848,37.61779
55.7733841,37.6088564
55.7723833,37.6044849
55.583651,37.4710477
55.6847406,37.8367602
55.6896282,37.8244686
55.7921517,37.5962384
55.7077211,37.8389884
55.7366803,37.697397
55.7359865,37.7022079
55.7223695,37.6963576
55.7803148,37.6193863
55.779458,37.6197026
55.7787896,37.6187509
55.7730613,37.6090519
